timestamp,cpu_usage_percent,memory_usage_percent,disk_usage_percent,process_count,net_bytes_sent,net_bytes_recv
2026-04-19 18:16:37,100.0,9.0,0.5,195,4914330,346446490
2026-04-19 18:16:42,100.0,9.0,0.5,195,4938420,348164282
2026-04-19 18:16:46,100.0,9.0,0.5,195,4961412,349797642
2026-04-19 18:16:51,100.0,9.0,0.5,195,4985742,351497956
2026-04-19 18:16:56,100.0,9.0,0.5,195,5009898,353137968
2026-04-19 18:17:01,100.0,9.1,0.5,195,5033262,354857792
2026-04-19 18:17:06,100.0,9.1,0.5,195,5056494,356496998
2026-04-19 18:17:11,100.0,9.1,0.5,195,5079306,358118410
2026-04-19 18:17:15,100.0,9.1,0.5,195,5101440,359832426
2026-04-19 18:17:20,100.0,9.1,0.5,195,5124318,361469934
2026-04-19 18:17:25,100.0,9.1,0.5,195,5148342,363176854
2026-04-19 18:17:30,100.0,9.1,0.5,197,5170716,364800138
2026-04-19 18:17:35,100.0,9.1,0.5,197,5228664,370308164
2026-04-19 18:17:40,100.0,9.0,0.5,195,5373990,383064224
2026-04-19 18:17:45,100.0,9.1,0.5,195,5493822,397486104
2026-04-19 18:17:48,100.0,9.1,0.5,197,5570646,411661738
2026-04-19 18:17:53,100.0,9.0,0.5,196,5575464,415508885
2026-04-19 18:17:58,100.0,9.0,0.5,194,5575464,415508885
2026-04-19 18:18:03,100.0,9.0,0.5,194,5575464,415508885
2026-04-19 18:18:08,100.0,9.0,0.5,194,5575464,415508885
2026-04-19 18:18:14,100.0,9.0,0.5,194,5575534,415508885
2026-04-19 18:18:17,100.0,9.0,0.5,196,5575624,415508975
2026-04-19 18:18:22,100.0,9.1,0.5,198,5576022,415509333
2026-04-19 18:23:42,100.0,9.0,0.5,194,5576112,415510616
2026-04-19 18:23:47,100.0,9.0,0.5,194,5576112,415510616
2026-04-19 18:23:52,100.0,9.0,0.5,194,5576112,415510616
2026-04-19 18:23:57,100.0,9.0,0.5,195,5576332,415510746
2026-04-19 18:24:02,100.0,9.0,0.5,195,5576462,415510876
2026-04-19 18:24:07,100.0,9.0,0.5,196,5576462,415510876
2026-04-19 18:24:12,100.0,9.0,0.5,194,5576462,415510876
2026-04-19 18:24:18,100.0,9.0,0.5,194,5576552,415510876
2026-04-19 18:24:23,100.0,9.0,0.5,194,5576594,415510918
2026-04-19 18:24:28,100.0,9.1,0.5,219,5576684,415511036
2026-04-19 18:24:33,100.0,9.2,0.5,244,5576726,415511078
2026-04-19 18:24:38,100.0,9.2,0.5,246,5576816,415511078
2026-04-19 18:24:43,100.0,9.2,0.5,245,5576816,415511196
2026-04-19 18:24:48,100.0,9.2,0.5,245,5576906,415511196
2026-04-19 18:24:53,100.0,9.2,0.5,245,5576948,415511356
2026-04-19 18:24:58,100.0,10.0,0.5,247,5576948,415511356
2026-04-19 18:25:03,100.0,16.7,0.5,247,5576948,415511356
2026-04-19 18:25:08,100.0,23.2,0.5,249,5576948,415511356
2026-04-19 18:25:13,100.0,29.7,0.5,247,5576948,415511356
2026-04-19 18:25:18,100.0,34.9,0.5,247,5576948,415511356
2026-04-19 18:25:23,100.0,15.5,0.5,247,5576948,415511356
2026-04-19 18:25:28,100.0,23.5,0.5,247,5576948,415511356
2026-04-19 18:25:33,100.0,30.3,0.5,247,5577068,415511476
2026-04-19 18:25:38,100.0,35.3,0.5,247,5577188,415511596
2026-04-19 18:25:43,100.0,15.2,0.5,247,5577188,415511596
2026-04-19 18:25:48,100.0,21.2,0.5,247,5577188,415511596
2026-04-19 18:25:53,100.0,28.0,0.5,247,5577188,415511596
2026-04-19 18:25:58,100.0,32.0,0.5,247,5577188,415511596
2026-04-19 18:26:03,100.0,25.6,0.5,247,5577188,415511596
2026-04-19 18:26:08,100.0,19.1,0.5,247,5577188,415511596
2026-04-19 18:26:13,100.0,26.7,0.5,247,5577188,415511596
2026-04-19 18:26:18,100.0,21.1,0.5,247,5577188,415511596
2026-04-19 18:26:23,100.0,25.4,0.5,247,5577188,415511596
2026-04-19 18:26:28,100.0,25.9,0.5,247,5577188,415511596
2026-04-19 18:26:33,100.0,19.6,0.5,247,5577188,415511596
2026-04-19 18:26:38,100.0,18.5,0.5,247,5577188,415511596
2026-04-19 18:26:43,100.0,25.2,0.5,247,5577308,415511716
2026-04-19 18:26:48,100.0,24.4,0.5,247,5577428,415511836
2026-04-19 18:26:53,100.0,17.4,0.5,249,5577428,415511836
2026-04-19 18:26:59,100.0,26.4,0.5,247,5577428,415511836
2026-04-19 18:27:04,100.0,22.6,0.5,247,5577428,415511836
2026-04-19 18:27:09,100.0,24.0,0.5,247,5577428,415511836
2026-04-19 18:27:14,100.0,26.8,0.5,247,5577428,415511836
2026-04-19 18:27:19,100.0,23.1,0.5,247,5577428,415511836
2026-04-19 18:27:24,100.0,18.6,0.5,247,5577428,415511836
2026-04-19 18:27:29,100.0,24.3,0.5,247,5577428,415511836
2026-04-19 18:27:34,100.0,24.6,0.5,247,5577428,415511836
2026-04-19 18:27:39,100.0,24.3,0.5,247,5577428,415511836
2026-04-19 18:27:44,100.0,25.1,0.5,249,5577428,415511836
2026-04-19 18:27:49,100.0,18.1,0.5,247,5577428,415511836
2026-04-19 18:27:54,100.0,24.3,0.5,247,5577428,415511836
2026-04-19 18:27:59,100.0,9.1,0.5,244,5577428,415511836
2026-04-19 18:28:04,100.0,9.1,0.5,244,5577428,415511836
2026-04-19 18:28:09,100.0,9.3,0.5,290,5577428,415511836
2026-04-19 18:28:14,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:19,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:24,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:29,100.0,10.6,0.5,744,5577428,415511836
